@relation weka

@attribute Tipodeusuario {NewVisitor,ReturningVisitor}
@attribute Fecha numeric
@attribute Sesiones numeric
@attribute PorcentajeNuevasSesiones numeric
@attribute Usuariosnuevos numeric
@attribute Porcentajedrebote numeric
@attribute Paginassesion numeric
@attribute Duracionmedia numeric
@attribute Porcentajedconversionesdelobjetivo numeric
@attribute Objetivoscumplidos numeric
@attribute Valordelobjetivo numeric

@data
NewVisitor,20160510,1223,100,1223,87.82,1.22,44.5,0,0,0
ReturningVisitor,20170209,1216,0,0,86.84,1.28,73.31,0,0,0
ReturningVisitor,20170202,1210,0,0,84.96,1.26,65.3,0,0,0
NewVisitor,20160914,1207,100,1207,88.32,1.18,33.79,0,0,0
ReturningVisitor,20170707,1207,0,0,78.46,1.52,117.48,0,0,0
ReturningVisitor,20170320,1204,0,0,83.47,1.32,83.59,0,0,0
ReturningVisitor,20170324,1202,0,0,85.86,1.23,60.58,0,0,0
ReturningVisitor,20170709,1199,0,0,85.65,1.31,55.85,0,0,0
ReturningVisitor,20170606,1198,0,0,88.81,1.23,63.53,0,0,0
NewVisitor,20170406,1187,100,1187,90.06,1.24,26.81,0,0,0
ReturningVisitor,20161107,1186,0,0,84.82,1.39,86.37,0,0,0
NewVisitor,20170620,1185,100,1185,88.52,1.23,44.23,0,0,0
ReturningVisitor,20170103,1184,0,0,87.92,1.26,54.72,0,0,0
ReturningVisitor,20160928,1182,0,0,86.21,1.26,79.26,0,0,0
ReturningVisitor,20170626,1182,0,0,88.58,1.24,55.35,0,0,0
ReturningVisitor,20161106,1181,0,0,86.03,1.34,70.94,0,0,0
ReturningVisitor,20170420,1180,0,0,86.95,1.24,53.25,0,0,0
ReturningVisitor,20170613,1180,0,0,88.22,1.22,58.71,0,0,0
ReturningVisitor,20170403,1175,0,0,84.43,1.24,57.4,0,0,0
ReturningVisitor,20170713,1174,0,0,84.58,1.34,85.01,0,0,0
NewVisitor,20170613,1162,100,1162,89.16,1.21,35.08,0,0,0
ReturningVisitor,20161009,1162,0,0,88.55,1.19,44.85,0,0,0
NewVisitor,20170217,1161,100,1161,87.94,1.19,37.39,0,0,0
NewVisitor,20161026,1157,100,1157,89.97,1.26,22.15,0,0,0
NewVisitor,20161231,1156,100,1156,90.74,1.18,29.17,0,0,0
NewVisitor,20160504,1150,100,1150,90.61,1.19,35.61,0,0,0
ReturningVisitor,20170122,1150,0,0,86.61,1.23,56.79,0,0,0
NewVisitor,20150907,1147,100,1147,91.63,1.23,35.37,0,0,0
NewVisitor,20170622,1146,100,1146,91.45,1.13,33.94,0,0,0
NewVisitor,20170609,1143,100,1143,89.94,1.16,27.69,0,0,0
NewVisitor,20170309,1142,100,1142,88.27,1.21,33.27,0,0,0
NewVisitor,20170602,1141,100,1141,90.01,1.16,27.79,0,0,0
NewVisitor,20170209,1140,100,1140,90.26,1.18,31.42,0,0,0
ReturningVisitor,20161122,1139,0,0,84.37,1.35,72.04,0,0,0
ReturningVisitor,20170113,1135,0,0,88.99,1.24,58.9,0,0,0
NewVisitor,20160713,1133,100,1133,92.06,1.14,35.51,0,0,0
ReturningVisitor,20170516,1133,0,0,84.38,1.32,65.78,0,0,0
NewVisitor,20170503,1126,100,1126,90.05,1.18,18.78,0,0,0
NewVisitor,20151126,1124,100,1124,92.17,1.12,20.6,0,0,0
NewVisitor,20170630,1124,100,1124,87.9,1.21,41.61,0,0,0
ReturningVisitor,20161003,1124,0,0,89.86,1.17,39.62,0,0,0
NewVisitor,20170720,1120,100,1120,85.18,1.29,40.62,0,0,0
ReturningVisitor,20170622,1117,0,0,89.79,1.19,52.91,0,0,0
ReturningVisitor,20170720,1112,0,0,79.41,1.43,69.61,0,0,0
ReturningVisitor,20170608,1111,0,0,88.39,1.23,54.07,0,0,0
NewVisitor,20170413,1106,100,1106,88.43,1.25,48.03,0,0,0
NewVisitor,20170228,1105,100,1105,87.33,1.28,47.67,0,0,0
NewVisitor,20160311,1103,100,1103,91.84,1.13,21.57,0,0,0
NewVisitor,20161106,1102,100,1102,86.21,1.31,48,0,0,0
ReturningVisitor,20160509,1100,0,0,85.45,1.3,58.95,0,0,0
NewVisitor,20170301,1098,100,1098,85.61,1.24,47.6,0,0,0
ReturningVisitor,20161012,1098,0,0,87.89,1.29,61.21,0,0,0
NewVisitor,20160902,1097,100,1097,88.61,1.21,43.61,0,0,0
NewVisitor,20170420,1096,100,1096,88.59,1.16,40.81,0,0,0
NewVisitor,20170704,1096,100,1096,89.6,1.21,35,0,0,0
NewVisitor,20160925,1095,100,1095,91.6,1.17,35.56,0,0,0
NewVisitor,20170314,1094,100,1094,87.57,1.22,47.35,0,0,0
NewVisitor,20170627,1094,100,1094,88.76,1.25,57.43,0,0,0
ReturningVisitor,20170216,1094,0,0,87.75,1.25,48.76,0,0,0
NewVisitor,20161028,1093,100,1093,68.53,1.44,35.88,0,0,0
NewVisitor,20170409,1093,100,1093,90.48,1.16,35.42,0,0,0
NewVisitor,20170216,1085,100,1085,90.51,1.14,35.79,0,0,0
NewVisitor,20170619,1085,100,1085,88.02,1.18,31.11,0,0,0
ReturningVisitor,20170601,1084,0,0,90.96,1.18,46.69,0,0,0
ReturningVisitor,20160923,1081,0,0,85.75,1.29,65.55,0,0,0
NewVisitor,20161220,1080,100,1080,83.33,1.38,63.77,0,0,0
ReturningVisitor,20170323,1079,0,0,88.79,1.2,56.06,0,0,0
NewVisitor,20170408,1078,100,1078,90.17,1.17,33.24,0,0,0
NewVisitor,20170520,1073,100,1073,87.05,1.19,39.74,0,0,0
ReturningVisitor,20170418,1072,0,0,84.89,1.27,67.68,0,0,0
ReturningVisitor,20170204,1069,0,0,87.09,1.29,56.76,0,0,0
ReturningVisitor,20160914,1068,0,0,84.08,1.3,65.09,0,0,0
ReturningVisitor,20170630,1063,0,0,82.41,1.36,85.84,0,0,0
ReturningVisitor,20170602,1062,0,0,86.44,1.28,54.13,0,0,0
NewVisitor,20170611,1060,100,1060,85.57,1.32,48.27,0,0,0
NewVisitor,20170119,1057,100,1057,85.62,1.27,46.66,0,0,0
ReturningVisitor,20161014,1057,0,0,86.57,1.35,73.31,0,0,0
NewVisitor,20170114,1056,100,1056,86.84,1.21,41.49,0,0,0
NewVisitor,20151216,1054,100,1054,90.7,1.18,30.26,0,0,0
NewVisitor,20160810,1054,100,1054,92.22,1.13,22.5,0,0,0
ReturningVisitor,20170225,1054,0,0,88.9,1.2,33.86,0,0,0
ReturningVisitor,20170605,1050,0,0,87.71,1.28,60.2,0,0,0
NewVisitor,20170403,1049,100,1049,87.23,1.22,37.08,0,0,0
NewVisitor,20161107,1048,100,1048,86.93,1.3,46.91,0,0,0
NewVisitor,20170401,1046,100,1046,88.62,1.21,43.25,0,0,0
NewVisitor,20170708,1046,100,1046,85.37,1.29,55.14,0,0,0
ReturningVisitor,20170301,1046,0,0,86.62,1.25,61.61,0,0,0
NewVisitor,20161230,1044,100,1044,89.75,1.17,18.26,0,0,0
NewVisitor,20170701,1042,100,1042,89.06,1.17,31.77,0,0,0
ReturningVisitor,20170322,1040,0,0,89.42,1.2,39.01,0,0,0
NewVisitor,20161008,1038,100,1038,84.59,1.25,56.15,0,0,0
NewVisitor,20160719,1036,100,1036,90.73,1.15,30.14,0,0,0
ReturningVisitor,20170703,1033,0,0,87.9,1.32,54.2,0,0,0
ReturningVisitor,20170701,1032,0,0,87.79,1.21,51.63,0,0,0
NewVisitor,20170407,1030,100,1030,88.45,1.22,35.24,0,0,0
NewVisitor,20170122,1027,100,1027,86.95,1.19,45.28,0,0,0
ReturningVisitor,20170331,1027,0,0,82.77,1.28,74.07,0,0,0
NewVisitor,20170111,1026,100,1026,86.35,1.3,51.95,0,0,0
NewVisitor,20170608,1025,100,1025,89.85,1.21,34.09,0,0,0
NewVisitor,20170428,1014,100,1014,88.46,1.2,40.8,0,0,0
NewVisitor,20160425,1012,100,1012,89.43,1.21,42.09,0,0,0
ReturningVisitor,20170321,1012,0,0,85.28,1.33,83.84,0,0,0
ReturningVisitor,20170408,1011,0,0,86.75,1.27,60.14,0,0,0
ReturningVisitor,20170725,1010,0,0,80.2,1.38,64.32,0,0,0
ReturningVisitor,20170327,1009,0,0,87.61,1.26,57.43,0,0,0
NewVisitor,20160427,1007,100,1007,92.15,1.16,25.95,0,0,0
NewVisitor,20161202,1005,100,1005,61.29,1.49,49.77,0,0,0
NewVisitor,20170226,1004,100,1004,82.57,1.27,44.99,0,0,0
ReturningVisitor,20170419,1004,0,0,83.37,1.31,76.22,0,0,0
ReturningVisitor,20170611,1004,0,0,85.46,1.31,67.84,0,0,0
ReturningVisitor,20170124,1002,0,0,86.23,1.27,62.95,0,0,0
NewVisitor,20160802,1001,100,1001,91.41,1.15,26.56,0,0,0
ReturningVisitor,20170220,1001,0,0,83.42,1.35,78.86,0,0,0
NewVisitor,20151124,994,100,994,90.74,1.15,19.7,0,0,0
ReturningVisitor,20170422,994,0,0,80.28,1.35,60.39,0,0,0
NewVisitor,20170418,991,100,991,87.89,1.25,44.72,0,0,0
ReturningVisitor,20170310,988,0,0,83.6,1.31,56.1,0,0,0
NewVisitor,20170710,987,100,987,87.03,1.27,41.53,0,0,0
ReturningVisitor,20170218,985,0,0,85.79,1.25,81.4,0,0,0
ReturningVisitor,20170413,984,0,0,85.77,1.32,70.02,0,0,0
NewVisitor,20160513,981,100,981,85.32,1.29,60.75,0,0,0
